"Lien_E";"Actifs";"Non_actifs";"Portabilite";"Max_regroup1";"Max_regroup4";"Max_regroup2";"Max_regroup3";"Base";"Option";"Mnt_dep_2018";"Remb_rc_2018";"Remb_ro_2018";"Qte_acte_2018";"Mnt_dep_2019";"Remb_rc_2019";"Remb_ro_2019";"Qte_acte_2019";"Mnt_dep_2020";"Remb_rc_2020";"Remb_ro_2020";"Qte_acte_2020";"Mnt_dep_2021";"Remb_rc_2021";"Remb_ro_2021";"Qte_acte_2021";"Mnt_dep_2022";"Remb_rc_2022";"Remb_ro_2022";"Qte_acte_2022";"Dentaire_2018";"Maladie_2018";"Vie_2018";"Hospitalisation_2018";"Optique_2018";"Dentaire_2019";"Maladie_2019";"Vie_2019";"Hospitalisation_2019";"Optique_2019";"Dentaire_2020";"Maladie_2020";"Vie_2020";"Hospitalisation_2020";"Optique_2020";"Dentaire_2021";"Maladie_2021";"Vie_2021";"Hospitalisation_2021";"Optique_2021";"Dentaire_2022";"Maladie_2022";"Vie_2022";"Hospitalisation_2022";"Optique_2022"
"934";497710;0;0;"1_ER66";"3";"2_Affaires_directes";"3_Sante";497710;0;4558.03;1519.21471903678;2634.94;1032;2528.92;889.395815050507;1029.42;271;602.79;362.869961783499;102.14;22;548.29;166.312626607349;373.23;18;749.05;447.053396450338;258.71;59;25;1327;0;36;14;25;1327;0;36;14;25;1327;0;36;14;25;1327;0;36;14;25;1327;0;36;14
"935";21311870;0;0;"1_ERCAC";"115";"2_Affaires_directes";"3_Sante";21311870;0;13882.64;5768.27966632333;6557.03;4629;10226.64;4310.0911317448;4819.28;2587;14001.5;5713.02271689815;7144.2;3744;19864.91;8696.62972886223;10931.88;4364;6331.1;3439.16680816845;2685.29;1457;71;16259;0;399;52;71;16259;0;399;52;71;16259;0;399;52;71;16259;0;399;52;71;16259;0;399;52
"936";14791140;0;603720;"1_ERCAC";"116";"2_Affaires_directes";"3_Sante";15394860;0;6989.19;3616.59750177508;2844.62;2141;5207.71;2302.51431824984;2332.15;1976;8397.92;4226.03030303513;3138.29;2333;9574.58;4347.77100103564;4446.07;2139;4767.13;2400.21579822552;2626.99;1473;1185;8623;0;211;43;1185;8623;0;211;43;1185;8623;0;211;43;1185;8623;0;211;43;1185;8623;0;211;43
"937";1540566680;73304910;153591240;"1_ER11";"5";"2_Affaires_directes";"3_Sante";1767462830;0;180761.36;79933.3981181043;85940.16;47253;178390.51;81753.1215889798;77790.13;44907;176560.6;84673.1908642197;80791.85;53403;193475.78;94023.4273536132;85257.2;58167;169927.22;78246.4588462609;99566.08;28984;4381;217502;9;10096;726;4381;217502;9;10096;726;4381;217502;9;10096;726;4381;217502;9;10096;726;4381;217502;9;10096;726
"938";982940;0;0;"1_ERCAC";"117";"2_Affaires_directes";"3_Sante";982940;0;412.03;149.123227388013;262.92;356;2954.73;1623.10452873263;1058.48;541;1493.41;502.736603151162;981.53;289;2707.47;1945.09795176031;646.67;324;1046.57;786.036878986789;379.51;156;250;1386;0;9;21;250;1386;0;9;21;250;1386;0;9;21;250;1386;0;9;21;250;1386;0;9;21
"939";483800;0;0;"1_ER66";"3";"2_Affaires_directes";"3_Sante";483800;0;6145.61;1994.79639293434;1698.27;930;1162.52;490.360585764505;464.28;441;603.23;229.448215659899;320.35;556;756.98;246.121556381073;503.75;492;0;0;0;0;10;2403;0;0;6;10;2403;0;0;6;10;2403;0;0;6;10;2403;0;0;6;0;0;0;0;0
"94";24299215;0;535225;"1_ER66";"3";"2_Affaires_directes";"3_Sante";24834440;0;14138.31;5820.12991916025;7196.96;5463;33393.62;11189.4458202657;21307.03;5310;16422.52;7640.05203755483;8178.37;5357;21591.97;11843.1228005675;8042.64;3775;4555.39;2594.08421180515;2204.84;1504;1593;19543;0;232;41;1593;19543;0;232;41;1593;19543;0;232;41;1593;19543;0;232;41;1593;19543;0;232;41
"940";2545920;0;0;"1_ER66";"3";"2_Affaires_directes";"3_Sante";2545920;0;2694.69;1252.13032116123;1377.42;464;1965.59;686.485160815317;1149.39;462;7668.46;2291.78264518267;5314.58;2650;2190.63;1118.17908797201;1060.72;559;608.34;298.084843436208;366.22;217;14;3057;0;1269;12;14;3057;0;1269;12;14;3057;0;1269;12;14;3057;0;1269;12;14;3057;0;1269;12
"941";45347661580;7305771980;4279712580;"1_ERCAC";"118";"2_Affaires_directes";"3_Sante";56933146140;0;1905505.14;845372.522451089;680316.71;339439;2254953.81;979107.119503023;848474.35;417698;2206872.01;1028974.89075659;861465.19;472840;3099724.72;1439114.95645523;1241524.37;606984;1656687.13;887218.745549767;703117.64;324510;78600;2011805;78;62811;8177;78600;2011805;78;62811;8177;78600;2011805;78;62811;8177;78600;2011805;78;62811;8177;78600;2011805;78;62811;8177
"942";1007306625;55789290;70253180;"1_ER66";"5";"2_Affaires_directes";"3_Sante";1133349095;0;199083.99;100471.436341417;78094.94;51151;209458.05;101406.577650398;90558.98;44518;167649.65;82954.6206533678;76155.43;42774;195955.65;112519.517634195;77338.73;43599;114114.23;72576.9250132044;52114.26;24585;6433;192753;5;6461;975;6433;192753;5;6461;975;6433;192753;5;6461;975;6433;192753;5;6461;975;6433;192753;5;6461;975
"943";151360;0;0;"1_ER11";"3";"2_Affaires_directes";"3_Sante";151360;0;970.73;499.192167499699;287.02;350;546.63;276.582070167499;256.16;83;1176.65;692.96641544021;485.21;174;207.02;67.3136552874725;75.83;16;431.4;207.928090236004;192.51;65;0;681;0;1;6;0;681;0;1;6;0;681;0;1;6;0;681;0;1;6;0;681;0;1;6
"944";5380200;0;0;"1_ER66";"3";"2_Affaires_directes";"3_Sante";5380200;0;6793.97;3680.91223971798;2578.14;2186;7971.54;3915.32948298193;2376.55;1417;2842.38;1617.2412859403;997.91;228;9303.18;5586.75536075711;3134.28;1817;5490.63;2950.2544794662;1920.7;232;476;5337;0;33;34;476;5337;0;33;34;476;5337;0;33;34;476;5337;0;33;34;476;5337;0;33;34
"945";861180;0;0;"1_ER11";"3";"2_Affaires_directes";"3_Sante";861180;0;877.24;281.774776128951;583.74;262;1244.98;413.749638546217;819.86;575;792.45;247.728646625055;543.64;63;802.54;263.348397000101;539.61;230;2880.26;1254.68455989885;1825.88;722;37;1808;0;5;2;37;1808;0;5;2;37;1808;0;5;2;37;1808;0;5;2;37;1808;0;5;2
"946";1437730;0;0;"1_ER66";"3";"2_Affaires_directes";"3_Sante";1437730;0;6926.02;2352.18445051605;4209.9;1083;3910.23;1156.03586947071;2754.62;1068;2984.06;1667.0768454857;781.85;234;1048.68;419.766020620096;635.1;496;1830.3;1276.47582757116;786.52;178;24;2972;0;51;12;24;2972;0;51;12;24;2972;0;51;12;24;2972;0;51;12;24;2972;0;51;12
"947";1213321320;0;0;"1_ERCAC";"27";"2_Affaires_directes";"3_Sante";1213321320;0;292671.35;122042.666041822;137584.36;47990;293573.55;128284.137781949;133690.29;61027;256623.06;120630.992807024;112952.49;58470;346877.82;159808.327175468;152885.65;63703;220710.86;94447.466116334;126754.99;45824;1510;263274;0;11658;572;1510;263274;0;11658;572;1510;263274;0;11658;572;1510;263274;0;11658;572;1510;263274;0;11658;572
"948";0;0;29070;"1_ERCAC";"5";"2_Affaires_directes";"3_Sante";29070;0;0;0;0;0;233.8;97.529910573023;136.33;31;925.16;347.025701241944;578.72;220;152.16;53.7693446066142;88.8;259;0;0;0;0;0;0;0;0;0;0;505;0;5;0;0;505;0;5;0;0;505;0;5;0;0;0;0;0;0
