"Lien_E";"Actifs";"Non_actifs";"Portabilite";"Produit1";"Produit2";"Produit3";"Annee_adhesion";"Tps_adh_entreprise";"Max_code_ape";"Max_departement";"Max_regroup1";"Max_regroup4";"BASE_percent";"OPTION_percent";"Nb_pers";"Nb_fam";"Anciennete_moy";"Tps_adh_moy_pers";"Asspri";"Asspri_percent";"Conjoint";"Conjoint_percent";"Enfant";"Enfant_percent";"Femme";"Femme_percent";"Homme";"Homme_percent";"Respo";"Respo_percent";"Non_respo";"Non_respo_percent";"VIP";"Prod1_Ind2018";"Prod1_Ind2019";"Prod1_Ind2020";"Prod1_Ind2021";"Prod1_Ind2022";"Prod1_Ind2023";"Prod2_Ind2018";"Prod2_Ind2019";"Prod2_Ind2020";"Prod2_Ind2021";"Prod2_Ind2022";"Prod2_Ind2023";"Prod3_Ind2018";"Prod3_Ind2019";"Prod3_Ind2020";"Prod3_Ind2021";"Prod3_Ind2022";"Prod3_Ind2023";"Renégo2020";"Renégo2021";"Renégo2022"
"633";42;9;0;1377;NA;NA;2013;3605;NA;"15";"ERCAC";"53";100;0;32;12;2015;3605;29;56.8627450980392;10;19.6078431372549;12;23.5294117647059;26;50.9803921568627;25;49.0196078431373;51;100;0;0;FALSE;0.05;0.02;NA;NA;NA;0.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"634";0;24;0;1381;NA;NA;2011;4336;NA;NA;"ERCAC";"53";100;0;24;8;2011;3240;16;66.6666666666667;8;33.3333333333333;0;0;12;50;12;50;24;100;0;0;FALSE;0.04;0;0.2;0.1;0.1;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"635";0;6;0;1382;NA;NA;2011;4336;NA;NA;"ERCAC";"53";100;0;6;2;2011;3971;4;66.6666666666667;2;33.3333333333333;0;0;2;33.3333333333333;4;66.6666666666667;6;100;0;0;FALSE;0.01;0;0;0.015;0.02;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"636";0;26;0;1383;1384;NA;2011;4336;NA;NA;"ERCAC";"53";100;0;10;3;2012;2557;18;69.2307692307692;8;30.7692307692308;0;0;16;61.5384615384615;10;38.4615384615385;10;38.4615384615385;0;0;FALSE;0.01;0;0;0;0.02;0.06;0.01;0;0;0;0.02;0.06;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"637";0;98;0;1385;NA;NA;2011;4336;NA;NA;"ERCAC";"53";100;0;16;8;2011;2647;78;79.5918367346939;20;20.4081632653061;0;0;60;61.2244897959184;38;38.7755102040816;0;0;0;0;FALSE;0.04;0.02;0;0.1;0.15;0.08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"638";20;0;0;1387;NA;NA;2011;4336;NA;"15";"ERCAC";"53";100;0;10;4;2012;2197;12;60;4;20;4;20;12;60;8;40;20;100;0;0;FALSE;0.03;0;0;0;0.02;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"639";0;8;0;1388;NA;NA;2011;4336;NA;NA;"ERCAC";"53";100;0;4;1;2011;2466;4;50;4;50;0;0;4;50;4;50;0;0;0;0;FALSE;0.04;0.02;0.03;0.01;0.2;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"64";9342;537;748;299;108;1344;2015;2497;"4941B";"12";"ERCAC";"11";89.4137574103698;10.5862425896302;5202;1448;2018;128827;5849;55.039051472664;1688;15.8840688811518;3090;29.0768796461842;3783;35.5980050813964;6844;64.4019949186035;10600;99.7459301778489;0;0;FALSE;0;0;NA;NA;0;0;0;0;NA;NA;0;0;0;0;NA;NA;0;0;FALSE;FALSE;FALSE
"640";0;2;0;1389;NA;NA;2011;4336;NA;NA;"ERCAC";"53";100;0;2;1;2011;4336;2;100;0;0;0;0;0;0;2;100;0;0;0;0;FALSE;0.01;0;0;0;0.1;0.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"641";0;8;0;1390;NA;NA;2011;4336;NA;NA;"ERCAC";"53";100;0;0;0;2011;4055;4;50;4;50;0;0;4;50;4;50;0;0;0;0;FALSE;0.03;0.05;0;0;0.02;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"642";4;0;0;1393;NA;NA;2011;4336;NA;"15";"ERCAC";"53";100;0;2;1;2011;4336;4;100;0;0;0;0;0;0;4;100;4;100;0;0;FALSE;0.01;0;0;0;0.2;0.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"643";57;7;4;1397;NA;NA;2008;5085;"2573A";NA;"ER76";"57";100;0;34;10;2011;18211;22;32.3529411764706;19;27.9411764705882;27;39.7058823529412;33;48.5294117647059;35;51.4705882352941;68;100;0;0;FALSE;0.025;0;0;0;0.02;0.08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"644";113;0;27;1398;NA;NA;2009;4761;"1812Z";NA;"ER76";"58";0;100;72;26;2013;25952;46;32.8571428571429;37;26.4285714285714;57;40.7142857142857;69;49.2857142857143;71;50.7142857142857;140;100;0;0;FALSE;0.01;0;0;0;0.02;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"645";201;0;6;1401;NA;NA;2014;3013;"8690A";NA;"ER76";"59";0;100;128;26;2017;23731;85;41.0628019323672;52;25.1207729468599;70;33.8164251207729;102;49.2753623188406;105;50.7246376811594;207;100;0;0;FALSE;0.04;0.02;0;0;0.02;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"646";126;0;9;1404;NA;NA;2016;2207;"8690A";NA;"ER76";"58";0;100;85;43;2017;19042;68;50.3703703703704;23;17.037037037037;44;32.5925925925926;65;48.1481481481481;70;51.8518518518518;135;100;0;0;FALSE;0.025;0;0;0;0.02;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"647";525;0;0;1405;NA;NA;2013;3586;"8411Z";NA;"ER76";"59";0;100;310;69;2016;14431;219;41.7142857142857;121;23.047619047619;185;35.2380952380952;263;50.0952380952381;262;49.9047619047619;525;100;0;0;FALSE;0.025;0;0;0;0.02;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"648";1008;0;0;1406;NA;NA;2013;3595;"8411Z";NA;"ER76";"58";0;100;669;295;2014;35969;441;43.75;225;22.3214285714286;342;33.9285714285714;507;50.297619047619;501;49.702380952381;1008;100;0;0;FALSE;NA;0;0;0;0.02;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"649";11;0;0;1408;NA;NA;2014;3150;"8411Z";NA;"ER76";"58";0;100;7;3;2013;3150;4;36.3636363636364;3;27.2727272727273;4;36.3636363636364;5;45.4545454545455;6;54.5454545454545;0;0;0;0;FALSE;0.025;0;0;0;0.02;0.08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"65";0;3;0;111;NA;NA;2022;318;"4399C";"11";"ER11";"3";100;0;2;1;2011;6162;3;100;0;0;0;0;0;0;3;100;3;100;0;0;FALSE;0.025;0.1;NA;NA;NA;0.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"650";13;0;0;1409;NA;NA;2014;3150;"8411Z";NA;"ER76";"58";0;100;12;4;2014;3150;4;30.7692307692308;3;23.0769230769231;6;46.1538461538462;4;30.7692307692308;9;69.2307692307692;0;0;0;0;FALSE;0.03;0;0;0;0.02;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"651";9;0;0;1410;NA;NA;2014;3150;"8411Z";NA;"ER76";"58";0;100;4;4;2012;3013;7;77.7777777777778;1;11.1111111111111;1;11.1111111111111;5;55.5555555555556;4;44.4444444444444;0;0;0;0;FALSE;0.01;0.2;0.2;0.015;0.04;0.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"652";2664;79;264;1413;1412;1431;2016;2496;"8730A";NA;"ER76";"57";54.2733621549717;45.7266378450283;1624;528;2018;4176;1647;54.7721982041902;280;9.31160625207848;1080;35.9161955437313;1969;65.4805453940805;1038;34.5194546059195;3007;100;0;0;TRUE;0.01;0.02;0.03;0.015;0.03;0.14;0.01;0.02;0.03;0.015;0.03;0.14;0.01;0.02;0.03;0.015;0.03;0.14;FALSE;FALSE;FALSE
"653";37;0;10;1414;NA;NA;2014;3140;"8292Z";NA;"ER76";"57";100;0;24;19;2015;5188;27;57.4468085106383;7;14.8936170212766;13;27.6595744680851;31;65.9574468085106;16;34.0425531914894;47;100;0;0;FALSE;0.025;0;0;0;0.02;0.08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"654";184;6;19;1415;NA;NA;2008;5259;"7111Z";NA;"ER76";"57";100;0;130;71;2013;34361;108;51.6746411483254;40;19.1387559808612;61;29.1866028708134;108;51.6746411483254;101;48.3253588516746;209;100;0;0;FALSE;0.03;0;0;0;0.02;0.08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"655";71;0;2;1416;NA;NA;2011;4100;"8292Z";NA;"ER76";"58";0;100;48;32;2013;19623;42;57.5342465753425;13;17.8082191780822;18;24.6575342465753;45;61.6438356164384;28;38.3561643835616;73;100;0;0;FALSE;0.01;0;0;0.015;0.03;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"656";0;452;0;1419;NA;NA;2008;5430;"6512Z";NA;"ER76";"59";0;100;323;106;2013;8999;273;60.3982300884956;179;39.6017699115044;0;0;238;52.6548672566372;214;47.3451327433628;452;100;0;0;TRUE;0.03;0;0;0;0.02;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"657";0;1597;0;1420;NA;NA;2014;3112;"6512Z";NA;"ER76";"60";100;0;1112;790;2007;14577;1083;67.8146524733876;511;31.9974953036944;3;0.187852222917971;914;57.2323105823419;683;42.7676894176581;1597;100;0;0;TRUE;0.025;0;0;0;0.02;0.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"658";0;62;0;1421;NA;NA;2015;2638;NA;NA;"ER76";"60";100;0;47;32;2010;8370;41;66.1290322580645;21;33.8709677419355;0;0;32;51.6129032258064;30;48.3870967741936;62;100;0;0;TRUE;0.025;0;0;0;0.02;0.08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"659";0;515;0;1422;NA;NA;2006;6162;"6512Z";NA;"ER76";"58";0;100;385;264;2008;11782;340;66.0194174757282;174;33.7864077669903;1;0.194174757281553;286;55.5339805825243;229;44.4660194174757;515;100;0;0;TRUE;0.025;0;0;0;0.02;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"66";0;4;0;112;NA;NA;2013;3605;NA;NA;"ER11";"3";100;0;4;1;2013;3546;2;50;2;50;0;0;2;50;2;50;4;100;0;0;FALSE;0.2;0;0;0;0.02;0.08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
"660";11;0;0;1423;NA;NA;2006;5734;"4799B";NA;"ER76";"57";100;0;3;1;2009;12882;3;27.2727272727273;3;27.2727272727273;5;45.4545454545455;6;54.5454545454545;5;45.4545454545455;11;100;0;0;FALSE;0.01;0;0;0.015;0.03;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
